iter	RMSE
0	58.38881782
1	56.10041456
2	53.80938425
3	51.65204763
4	49.69833566
5	47.63069826
6	45.82588832
7	44.67325819
8	42.99884493
9	41.38668847
10	40.44280247
11	38.95121225
12	37.99980715
13	36.45364722
14	35.26447169
15	34.41734438
16	33.49199287
17	32.6986523
18	31.65152631
19	30.54256255
20	29.59101709
21	28.53218261
22	27.44063126
23	26.54107433
24	25.80699445
25	25.24368036
26	24.49268522
27	23.62762266
28	22.85471011
29	22.07846613
30	21.57367912
31	20.8698243
32	20.38237284
33	19.96958642
34	19.52684524
35	18.82306665
36	18.39039073
37	17.97191449
38	17.41580457
39	16.81527141
40	16.1918316
41	15.79134982
42	15.40507721
43	15.08044532
44	14.64149651
45	14.22414805
46	13.75834794
47	13.40010298
48	13.08264632
49	12.68255416
50	12.39505054
51	12.12831583
52	11.73944891
53	11.4794765
54	11.21930107
55	11.00466935
56	10.74980182
57	10.51127749
58	10.09484807
59	9.891596894
60	9.689516059
61	9.27984249
62	8.936304483
63	8.754666407
64	8.593272706
65	8.420570325
66	8.254222169
67	8.092934853
68	7.921519505
69	7.756432467
70	7.602395335
71	7.461302781
72	7.143817876
73	6.854110938
74	6.72415212
75	6.598221802
76	6.476254653
77	6.355989491
78	6.239589029
79	5.984345218
80	5.869296931
81	5.764370259
82	5.661362194
83	5.563035107
84	5.467974324
85	5.374607125
86	5.285715017
87	5.064477547
88	4.975329362
89	4.889260474
90	4.696860557
91	4.615575582
92	4.537081988
93	4.355143277
94	4.281089595
95	4.209577896
96	4.14053867
97	3.981446382
98	3.916178214
99	3.849861707
100	3.700202458
101	3.637688558
102	3.577448234
103	3.519409537
104	3.383454104
105	3.328407596
106	3.275369755
107	3.150541145
108	3.100231046
109	3.051756949
110	2.937141797
111	2.891160263
112	2.846859374
113	2.741632892
114	2.700959998
115	2.66015735
116	2.563441872
117	2.526216601
118	2.488997743
119	2.402295726
120	2.368321103
121	2.335594913
122	2.253052842
123	2.221970613
124	2.164892626
125	2.111033682
126	2.081867853
127	2.011230579
128	1.962468577
129	1.916428697
130	1.890628915
131	1.865811147
132	1.841943682
133	1.774167484
134	1.733451063
135	1.711480001
136	1.690357572
137	1.62848924
138	1.591823797
139	1.55993374
140	1.529175095
141	1.499505617
142	1.443922634
143	1.415720663
144	1.388502454
145	1.362234569
146	1.3368853
147	1.286918736
148	1.262804685
149	1.239528178
150	1.198688201
151	1.176553157
152	1.155183759
153	1.119317769
154	1.099140365
155	1.079660358
156	1.060857265
157	1.026466684
158	1.008575018
159	0.9913075389
160	0.9599636449
161	0.9436882445
162	0.9279393683
163	0.8988344917
164	0.8726542286
165	0.8580671465
166	0.8439693489
167	0.8204097855
168	0.794437378
169	0.7813763132
170	0.7687685449
171	0.748686868
172	0.7366801565
173	0.714639678
174	0.6953128949
175	0.6842398042
176	0.6734863438
177	0.6524663345
178	0.6358469731
179	0.6272611527
180	0.6189176585
181	0.5999988133
182	0.5921912417
183	0.5847111402
184	0.5775455455
185	0.5615690686
186	0.555107525
187	0.5486685586
188	0.5425033211
189	0.5280776003
190	0.5225066943
191	0.5044346457
192	0.499144243
193	0.4846987325
194	0.4796867095
195	0.4748835056
196	0.462795456
197	0.4466876242
198	0.4422200092
199	0.437939135
