iter	Passed	Remaining
0	139	27761
1	139	13831
2	139	9185
3	140	6865
4	140	5470
5	140	4540
6	140	3875
7	140	3377
8	140	2988
9	141	2679
10	141	2426
11	141	2214
12	141	2036
13	141	1882
14	141	1748
15	141	1632
16	142	1531
17	142	1440
18	142	1358
19	142	1284
20	142	1217
21	143	1157
22	143	1102
23	143	1051
24	143	1005
25	143	962
26	143	922
27	144	886
28	144	851
29	144	820
30	144	790
31	145	761
32	145	735
33	145	709
34	145	686
35	145	664
36	145	643
37	146	622
38	146	603
39	146	585
40	146	568
41	146	552
42	147	537
43	147	522
44	147	507
45	147	493
46	147	480
47	147	468
48	148	456
49	148	444
50	148	433
51	148	423
52	148	412
53	149	403
54	149	393
55	149	384
56	149	375
57	149	367
58	150	358
59	150	351
60	151	344
61	151	338
62	152	330
63	152	323
64	152	316
65	152	310
66	153	303
67	153	297
68	153	291
69	153	285
70	154	279
71	154	274
72	154	268
73	154	263
74	155	258
75	155	253
76	155	248
77	155	243
78	156	239
79	156	234
80	156	230
81	157	226
82	157	222
83	158	218
84	158	214
85	158	210
86	159	206
87	159	203
88	159	199
89	160	195
90	160	192
91	160	188
92	161	185
93	161	181
94	161	178
95	161	175
96	162	172
97	162	169
98	162	166
99	163	163
100	163	160
101	163	157
102	163	154
103	164	151
104	164	148
105	164	145
106	164	143
107	165	140
108	165	138
109	165	135
110	166	133
111	166	130
112	166	128
113	167	126
114	167	123
115	167	121
116	167	119
117	168	116
118	168	114
119	168	112
120	168	110
121	169	108
122	170	106
123	170	104
124	170	102
125	171	100
126	171	98
127	172	96
128	172	94
129	172	92
130	172	91
131	173	89
132	173	87
133	173	85
134	173	83
135	174	82
136	174	80
137	174	78
138	175	76
139	175	75
140	175	73
141	175	71
142	176	70
143	176	68
144	176	67
145	177	65
146	177	63
147	177	62
148	177	60
149	178	59
150	178	57
151	178	56
152	178	54
153	179	53
154	179	52
155	179	50
156	180	49
157	180	47
158	180	46
159	181	45
160	181	43
161	181	42
162	182	41
163	182	40
164	182	38
165	183	37
166	183	36
167	183	34
168	184	33
169	184	32
170	184	31
171	184	30
172	185	28
173	185	27
174	185	26
175	185	25
176	186	24
177	186	23
178	186	21
179	187	20
180	187	19
181	187	18
182	187	17
183	188	16
184	188	15
185	188	14
186	189	13
187	189	12
188	189	11
189	189	9
190	190	8
191	190	7
192	191	6
193	191	5
194	191	4
195	191	3
196	192	2
197	192	1
198	192	0
199	193	0
